name,text
"Batteries Plus Holding Corporation dba Batteries Plus, LLC","Transparency in Supply Chains Act Disclosure
This disclosure is provided pursuant to the California Transparency in Supply Chains Act of 2010, Section 1714.43 of the California Civil Code, which requires retailers and manufacturers above a certain size and doing business in California to disclose what efforts, if any, they have taken to monitor human trafficking and the use of slave labor in their supply chains.
Batteries Plus Bulbs, and its wholly owned subsidiary, Ascent Battery Supply LLC, recognizes the critical role we play in making products that improve lives and offer better solutions than other alternatives. Doing so sustainably requires that we balance the social, environmental and economic benefits and risks of our products, including how they are sourced, manufactured and used.
Suppliers and employees play a key role in our efforts to ensure that we manage our global supply chain in a sustainable way. Batteries Plus Bulbs sources its raw materials and other inputs with reputable companies with high standards. By signing a purchase order or contract, the supplier or employee certifies that it conducts business pursuant to laws related including, but not limited to, laws that prohibit slavery and human trafficking. A supplier’s or employee’s failure to honor its independent legal and contractual commitment to Batteries Plus Bulbs is a violation of law and breach of the contract, and the contract may be terminated for any violation of law. Batteries Plus Bulbs does not believe that additional verification is necessary to continue to deliver our customers a quality product manufactured with integrity, and as such, Batteries Plus Bulbs does not further verify its product supply chains or audit its suppliers.
At this time, Batteries Plus Bulbs does not require its direct suppliers to certify that materials incorporated into the product sold to Batteries Plus Bulbs comply with the slavery and human trafficking laws in the country or countries in which they are doing business.
Batteries Plus Bulbs maintains internal accountability standards and procedures regarding employee compliance with applicable laws, which includes any laws regarding slavery and human trafficking. Batteries Plus Bulbs does not currently provide employees and management, who have direct responsibility for supply chain management, training specifically on human trafficking and slavery at this time.
Need Help? Call us at 1-800-677-8278 1-800-677-8278
We strive to provide the best price available on BatteriesPlus.com and in our stores. Store pricing may vary from the price advertised on BatteriesPlus.com. Fees may apply for recycling, environmental disposal, and/or labor/installation.
Our Policies: Conditions of Use , Privacy , Shipping , Returns , Warranty , and Terms and Conditions .
All registered trademarks are the property of their respective owners. Copyright ©2016, Batteries Plus LLC. All rights reserved.
©2016 DURACELL, a division of the Gillette Company, Bethel, CT 06801. DURACELL is a registered trademark of the Gillette Company, used under license. All rights reserved.
Your Cart
(0 items)
"
"INFICON, Inc.","INFICON’s Statement Under the California Transparency in Supply Chains Act
Under the California Transparency in Supply Chain Act of 2010 (Cal. Civil Code 1714.43), many manufacturers and retail sellers doing business in California must disclose information regarding their efforts to address the risk of slavery and human trafficking in their supply chains.
INFICON is committed to conducting business in an ethical and responsible manner and is opposed to slavery and human trafficking and these standards are expressed in our Global Business and Ethics Policies.  INFICON prohibits the use of child labor and use of forced, bonded, or indentured labor practices and prison labor in our Operations.  We expect our suppliers to comply with these same business and ethical standards and all applicable laws.
To evaluate and address the risks of slavery and human trafficking in our product supply chains under the Act, INFICON’s verification process consists solely of asking our most significant direct suppliers, based on spend, of materials incorporated into their products to comply with the laws regarding slavery and human trafficking of the countries in which they are doing business.  We have ongoing interaction, conduct regular visits, and perform internal audits of these most significant suppliers.  We do not engage third party auditors to conduct independent and unannounced audits of our suppliers. We do not require our suppliers to certify to specific laws regarding slavery and human trafficking, however they do certify to compliance with all statutes, rules, regulations and orders of the United States as well as the countries in which they are doing business. 
INFICON has training on our Global Business and Ethics Policies, which includes a specific sub-section on ‘Prevention of Child or Forced Labor’, for all company employees.  INFICON’s Global Business and Ethics Policies contain a mechanism to report potential ethical, legal or regulatory violations related to our employees and all business partners.  We have internal accountability standards and procedures in the event an employee fails to meet company Business and Ethics Policies.  INFICON has not developed specific training nor accountability procedures related to slavery and human trafficking for its supply chain partners, however all supplier relationships may be terminated for violations of all statutes, rules, regulations and orders of the United States as well as the countries in which they are doing business. 
This statement was last updated April 22, 2014.  All future updates to our policies and practices related to this Act will be posted on this site.  
"
"Marian, Inc.","                                               	  
	  
Supply	  Chain	  Transparency	  
	  
The	  California	  Transparency	  in	  Supply	  Chain	  Act	  of	  2010	  (SB	  657)	  went	  into	  effect	  
January	  1,	  2012.	  	  This	  law	  requires	  retail	  sellers	  and	  manufacturers	  doing	  business	  
in	  California	  and	  having	  gross	  worldwide	  sales	  over	  100	  Million	  Dollars	  to	  be	  
transparent	  about	  their	  efforts	  to	  eradicate	  slavery	  and	  human	  trafficking	  from	  their	  
direct	  supply	  chain.	  
	  
As	  a	  manufacturer	  of	  custom	  die	  cut	  components	  made	  with	  soft	  flexible	  materials,	  
Marian’s	  material	  suppliers	  play	  a	  critical	  role	  in	  the	  success	  of	  our	  business.	  	  For	  
over	  60	  years	  Marian	  has	  carefully	  cultivated	  relationships	  with	  suppliers	  who	  
ensure	  that	  fair	  labor	  conditions	  and	  responsible	  business	  practices	  are	  integrated	  
into	  their	  operations.	  	  To	  ensure	  this,	  Marian’s	  Terms	  and	  Conditions	  require	  that	  
the	  vendor	  does	  not	  engage	  in	  human	  trafficking	  or	  slavery.	  	  In	  the	  future	  Marian	  
plans	  to	  include	  vendor	  certification	  of	  compliance	  with	  laws	  regarding	  slavery	  and	  
human	  trafficking	  in	  our	  vendor	  review	  process.	  	  
	  
The	  Corporate	  Culture	  at	  Marian	  is	  one	  of	  respect	  and	  dignity.	  	  Standards	  for	  
behavior	  and	  conduct	  are	  recorded	  in	  Marian’s	  Safety	  and	  Health	  Handbook,	  which	  
is	  given	  to	  employees	  when	  hired	  and	  reviewed	  regularly	  with	  all	  employees.	  	  	  
	  
	  
            	  
"
Betco Corporation,"Reporting Disclosure pertaining to The California Transparency in Supply Chains Act, California Civil Code Section 1714.43
Envirozyme does not knowingly procure or acquire any of its raw materials from countries listed in the most recent report the Department of Labor issued, dated 2013.

8:00AM - 5:30PM EST, Monday - Friday
Asset could not be found
Sorry, for some reason you have landed on this page. This could be due to the page no longer exists or it has restricted content that requires a log in password.

California Transparency in Supply Chains Act
California Civil Code Section 1714.43
Reporting Disclosure pertaining to The California Transparency in Supply Chains Act, California Civil Code Section 1714.43
Betco Corporation does not knowingly procure or acquire any of its raw materials from countries listed in the most recent report the Department of Labor issued, dated 2013.
Betco Corporation does not have formal standards or a verification process for suppliers within the supply chain to evaluate and mitigate risks in efforts to eradicate slavery and human trafficking from direct supply chain for tangible goods offered for sale.  Third party verification is not conducted.  Betco Corporation does not perform any of the following: audit of suppliers, supplier compliance certifications, maintenance of internal accountability standards for employees or contractors, training of employees and management of the company in regards to these issues.
Contact Betco
Full Name
Email Address
Phone Number
Zip Code

Reporting Disclosure pertaining to The California Transparency in Supply Chains Act, California Civil Code Section 1714.43
Bio-Systems does not knowingly procure or acquire any of its raw materials from countries listed in the most recent report the Department of Labor issued, dated 2013.
Bio-Systems does not have formal standards or a verification process for suppliers within the supply chain to evaluate and mitigate risks in efforts to eradicate slavery and human trafficking from direct supply chain for tangible goods offered for sale.  Third party verification is not conducted.  Bio-Systems does not perform any of the following: audit of suppliers, supplier compliance certifications, maintenance of internal accountability standards for employees or contractors, training of employees and management of the company in regards to these issues.
Bio-Systems® International
"
"Citi Trends, Inc.","VERIFICATION
We at Citi Trends take our role in the business community seriously and are committed to promoting Citi Trends’ values and respect for human rights within our supply chain. These goals include doing our part to eradicate slavery and human trafficking in the distribution of the goods we sell.
Citi Trends requires the supplier certification described below to verify that our suppliers do not engage in slavery or human trafficking. Citi Trends does not engage in additional verification activities of its suppliers to identify, assess, and evaluate the potential risks for human trafficking and slavery within our supply chain. Citi Trends is currently unable to verify whether our direct suppliers or their subcontractors use labor brokers.
AUDITS
Citi Trends relies on the certification it receives from suppliers, which requires that suppliers report noncompliance with the company’s standards. Citi Trends does not audit suppliers.
CERTIFICATION
Citi Trends requires its suppliers to provide a written certification that they and their subcontractors do not engage in slavery or human trafficking and that they abide by other ethical standards. The company also requires its suppliers to certify that they, their subcontractors, and the materials incorporated into their product comply with the laws and regulations governing slavery, human trafficking, and employment in the countries where they do business. Furthermore, Citi Trends requires that its suppliers disclose any incidents of noncompliance with these requirements within their supply chains. Suppliers that fail to meet these standards are subject to corrective action, up to and including termination.
INTERNAL ACCOUNTABILITY
Citi Trends has internal accountability standards and procedures for employees and contractors engaged in illegal or unethical behavior. If Citi Trends is notified of an internal compliance issue, it is addressed promptly and any employees or contractors that fail to meet our company standards are subject to corrective action, up to and including termination. There are also protections in place for employees reporting violations.
TRAINING
Citi Trends does not provide employees with formal training on human trafficking and slavery.
By taking these steps, Citi Trends is doing its part to promote fair practices here and abroad to prevent slavery and human trafficking within our supply chain.
Get the latest!
"
Spirit Halloween Superstores LLC,"Company Information: California Transparency In Supply Chains Act
Spirit supports the right of all individuals to be free from slavery in the workplace. We abhor the practice of human trafficking and slavery and applaud efforts being made globally to eliminate this practice.
VERIFICATION
Spirit is in the process of implementing a program that will assess the risk of human trafficking and slavery posed by our direct source vendors. An independent third party verifier will administer the program.
AUDITS
Spirit utilizes an independent, third party auditor to confirm that our international suppliers comply with all employment laws. The audits are announced. Spirit does not conduct audits of our suppliers here in the United States.
CERTIFICATION
Spirit requires all of its suppliers to be compliant with all local and national laws governing slavery and human trafficking in the countries in which they do business. By accepting a purchase order or contract, every supplier certifies that it conducts business in compliance with local and national laws related to employment, and its failure to do so is a breach of the contract.
INTERNAL ACCOUNTABILITY
Spirit has adopted a policy for our employees and contractors that sets forth our expectations and standards with regard to the fair treatment of our employees. Spirit’s policy specifically prohibits forced labor. Spirit provides training on these standards for our employees and management, and we provide a confidential hotline for employees to report concerns related to their fair treatment and other employment related issues. We prohibit retaliation against anyone who in good faith reports a possible violation of our policy.
TRAINING
All of our employees who have direct responsibility for international supply chain management receive internal and external training on slavery and human trafficking issues. Our international buying team receives this training in connection with every international buying trip, which typically occur several times each year.
Beginning in 2015, Spirit will also offer human trafficking and slavery training to its suppliers.
You must agree to receive emails from Spirit Halloween Superstores LLC.
Follow Us
Give Back
"
Bemis Associates Inc. and Subs 04-1078880,"Vendor Code of Conduct
At Bemis, integrity, authenticity and respect are core values that shape all aspects of our Company’s business.  We are committed to honesty and fairness in all operations with the utmost concern for our associates, customers and community. Bemis is dedicated to working with suppliers, manufacturers and authorized Sub-Contractors who share our values and commitments, and treat their employees with dignity and respect. 
Our current practices include using a Vendor Scorecard to evaluate a vendor being able to fit with the Bemis Way as a preferred and accepted partner.  We intend to elaborate on Social Labor, human trafficking and slavery as specific parts of the Vendor Scorecard. 
Bemis is also a member of the Sustainable Apparel Coalition and is on the Expert Panel for Verification for the Auditing portion of the Higg Index.  Bemis will be utilizing the Higg Index to get scores from their suppliers and using the Higg’s auditing procedures (introducing in Fall 2015) to get quality auditing results of our suppliers. 
Bemis also has a Declaration of Conformity that we expect all Suppliers to sign.  If our suppliers do not meet our standards then we will hold them accountable. 
Our purchasing Director is one of the key members of our Sustainability Team at Bemis and as such is fully trained in the Sustainability and Social Labor standards and she is able to fully train her staff on the above expectations.  
CLOSE X
CLOSE X
"
A-dec Inc.,"A-DEC VOTED BEST IN CLASS
Dentaltown doctors voted A-dec best in class across multiple dental equipment categories including Best Patient Chairs and Best Operatory Delivery Systems. Learn more.
A-DEC 300: EVOLVED
WE'VE GOT YOUR BACK
When comfort is essential, the new feature-rich A-dec 500 stools have you covered. Discover your ultimate comfort.
COMPARE HANDPIECES
Designed to perform. Made to inspire.
May 5-7, 2016
"
"Michelman, Inc.","As required by California law, Michelman reports as follows:
The California Transparency in Supply Chains Act of 2010 (the “Act”) requires certain retailers and manufacturers doing business in California to provide information regarding their efforts to eliminate slavery and human trafficking in their supply chains. In compliance with the Act, this statement is provided on behalf of Michelman, Inc. (“Michelman”).
Michelman is committed to the highest standards of lawful, honest, and ethical conduct in all business dealings. This commitment is reflected in various policies and practices maintained by Michelman, including those contained in its Code of Business Conduct.
Verification. Michelman purchases products, components and raw materials from suppliers located in the United States and in foreign countries. Michelman generally verifies its supply chains by doing business with suppliers that are well-established, reputable organizations that respect the legal requirements of the jurisdictions in which they operate. Michelman believes that its suppliers do not engage in illegal slavery or human trafficking, but does not otherwise engage in verification of, or engage third parties to verify, product supply chains to evaluate and address the risks of slavery or human trafficking.
Audits. Michelman expects all of its suppliers to comply at all times with all applicable laws and to engage in honest and ethical business conduct. Michelman would take prompt action if it found evidence that a supplier was engaging in any illegal activity, including slavery or human trafficking. Except as discussed above regarding verification, however, Michelman does not conduct audits of its suppliers to evaluate compliance with Michelman’s standards regarding slavery and trafficking in supply chains.
Certifications. As discussed above, Michelman does business with reputable suppliers that, to its knowledge, are in compliance with the legal requirements of the jurisdictions in which they operate and that Michelman believes operate in a legal, honest, and ethical manner. Michelman does not require direct suppliers to certify that materials incorporated into its products comply with the laws regarding slavery and human trafficking of the country or countries in which they do business.
Accountability. Michelman follows, and requires all employees to follow, policies that demand lawful, honest, and ethical conduct in every aspect of business dealings, including a Code of Business Conduct that includes the requirement to comply with all laws and regulations of the United States and the other countries in which Michelman does business. Violation of these policies may result in disciplinary action, up to and including termination of employment, or other legal action as appropriate.
Training. Except as stated above regarding Accountability, Michelman does not currently provide employees and management, who have direct responsibility for supply chain management, with training on slavery and human trafficking, including with respect to mitigating risks within the supply chains of products.
Email Address
"
Moen Incorporated,"A Responsible Approach to Business
We have high standards for our associates, suppliers and products in all the places where we do business.
Ethical Conduct
More than 30 percent of our 20,000+ person workforce is global. Our business ethics apply to our workplaces throughout the world, and are reflected in Fortune Brands’ Code of Business Conduct and Ethics and other company policies.
Safe and Respectful Workplace
Our associates are our greatest asset. Keeping them safe, treating them with dignity and respect and giving them a workplace where they can thrive are essential to winning in the marketplace. We're committed to developing systems that drive safe work practices. 
We work hard to ensure that our suppliers and contractors adhere to the same strict standards we have for the respect of human rights, workplace safety and protection of the environment.
Environmental stewardship
Fortune Brands believes the protection of our natural resources is important to our business. We’re committed to environmental stewardship and sustainable initiatives to reduce waste and energy use. See our EHS Principles  [PDF 127KB]. We have a number of sustainability efforts and success stories across our Company that represent how we manage energy use and waste disposal.
Responsible Products
We believe that part of being a good corporate citizen means creating high-quality products that help consumers use fewer natural resources.
Fortunate Giving:  Building our communities
Our Company has a strong heritage of giving back. In 2015, we contributed approximately $1.5 million to our communities. Through our Fortunate Giving program, we support organizations that align with our business goals, our associates' passions and the communities where they live and work in the areas of education, the environment and housing. 
"
"L & M Footwear, Inc. DBA Robert Wayne Footwear DBA Shoeteria","Supplier Responsibility
Disclosure Statement Pursuant to California Transparency in Supply chains Act of 2010
Robert Wayne Footwear is a divison of L&M Footwear, Inc. L&M Footwear is committed to the highest standards of social responsibility. As part of this commitment we are obligated to ensure our products are produced in an ethical and legal manner. L&M Footwear takes seriously the federal and international efforts to end human trafficking and slavery.
Supply Chain Verification
L&M Footwear’s policy is to evaluate potential contracted factories before they enter the supply chain to assess compliance with standards including country-related risk for issues including human trafficking and slavery. We source our products and materials from suppliers that we believe to be both reputable and compliant with applicable laws and their own internal standards and policies prohibiting slavery and human trafficking. Although we currently do not have formal policies or procedures of our own in place, we believe that the company employees responsible for managing our supply chain have sufficient knowledge and experience to evaluate and asses the risks posed by each supplier, and to detect potential warning signs that a supplier may be failing to adhere to the proper standards or to monitor and ensure compliance by its own supply sources.
Supply Chain Certification
L&M Footwear does not currently have a formal supplier compliance verification program in place. However, we remain committed to evaluating and revising our practices, and are working on developing standards for supplier certification including the creation of a Supplier’s Code of Conduct that will expand in detail our expectations of our suppliers regarding human rights, and establishment of standards and procedures for suppliers that fail to meet our company requirements regarding forced labor and trafficking.
Training and Internal Accountability
In light of the knowledge and experience of our existing supply chain partners, we have not instituted formal employee training programs, nor have we utilized the services of outside third parties to audit or verify supplier compliance. Those employees and management with direct responsibility for supply chain management and audits are provided information on L&M Footwear’s policies with regard to forced labor, including human trafficking and slavery. These employees and management cooperate with suppliers to correct any breaches of employment, health, safety and environmental precedent and practices, and specifically for any type of forced labor. If employees of L&M Footwear who are responsible for direct responsibility of supply chain management fail to fulfil their duties, they may be subject to discipline.
BN 18628254v1
"
"One Kings Lane, Inc.","California Transparency in Supply Chains Act Notice
California Transparency in Supply Chains Act
 
 
Verification
 
Audits
 
Certification
 
Internal Accountability Standards
 
Training
We are committed to providing training to all of our employees who are responsible for supply chain management, to further develop their ability to identify and evaluate risks in the supply chain.
Yes I found this article helpful
No I did not find this article helpful
Not finding what you're looking for? Try searching again or send us an email .
©2014 One Kings Lane®, All rights reserved. Terms of Use Privacy
Tastemaker Tag Sales™ is a trademark of One Kings Lane Inc.
"
DVCC Inc. and Subsidiaries,"World Class Customer Service
Welcome to DixonUSA | English
California Transparency in Supply Chains Act of 2010
Effective January 1, 2012, the California Transparency in Supply Chains Act of 2010 requires retailers and manufacturers doing business in California to disclose efforts to eradicate slavery and human trafficking from its direct supply chain.  Dixon Valve & Coupling Company is committed to ensuring that its employees and suppliers take appropriate steps to mitigate the risk of human trafficking and slavery from occurring in any aspects of its supply chain. In accordance with the Act, Dixon Valve & Coupling makes the following disclosures:
Verification of Supply Chain
Dixon Valve & Coupling verifies product supply chains through several methods, including site evaluations, inspections, and other means. Third parties are not utilized for verification.
Evaluation of Supplier Compliance
Dixon Valve & Coupling does not conduct audits of suppliers to evaluate supplier compliance with company standards specifically for trafficking and slavery in supply chains.
Supplier Certification
Dixon Valve & Coupling requires as a condition of contract that all suppliers commit to comply with applicable laws and regulations, but does not require suppliers to certify that materials incorporated into the product comply with the laws regarding slavery and human trafficking of the country or countries in which they are doing business.
Internal Accountability Standards
Dixon Valve & Coupling does not maintain internal accountability standards and procedures for employees or contractors failing to meet company standards regarding slavery and trafficking. However, Dixon’s mission, visions and values are an integral part of the company culture and are the foundation on which Dixon conducts all business.
Management Training
×
×
Email Address *
First Name
Last Name
Feedback
Help us improve by submitting your feedback. Just click the button below.
"
Zoeller Pump Company,"Corporate Governance
Corporate Governance:
At Zoeller Company, we value our relationships with our customers, suppliers and each other. We manage our global operations with care for the well being and prosperity of our employees, customers, communities and the environment.
The values listed below guide how we conduct business every day:
Honesty
The downloads below are provided for current/potential partners to ensurethat expectations are clear.
"
Bristol-Myers Squibb (and subsidiaries),"Standards of Business Conduct and Ethics
Bristol-Myers Squibb's PRINCIPLES OF INTEGRITY: BMS Standards of Business Conduct and Ethics provides a summary of the important policies and procedures in conducting the company's business in a legal, ethical and responsible manner. The Standards provide specific guidance to company employees in assisting with the compliance of these policies and procedures. Good corporate governance is essential to the integrity of the company and the PRINCIPLES OF INTEGRITY: BMS Standards of Business Conduct and Ethics helps ensure that Bristol-Myers Squibb meets the highest standards of moral and ethical behavior in all of its business activities.
Third Parties
Bristol-Myers Squibb recognizes that Third Parties have an important role in its success. We strive to conduct business only with Third Parties who share our commitment to the Standards of Business Conduct and Ethics for Third Parties (3P Standards). We encourage Third Parties to adopt and apply the 3P Standards, and to have processes and/or systems in place to support operating in compliance with all applicable laws, regulations, guidelines and industry codes. Specific requirements for adherence to the 3P Standards are included in contracts with third parties.
Code of Business Conduct and Ethics for Directors
The Code of Business Conduct and Ethics for Directors provides directors of Bristol-Myers Squibb guidance with respect to recognizing and handling areas of ethical issues, as well as information on how to report unethical conduct. This Code applies to all directors of Bristol-Myers Squibb and is intended to help foster a culture of openness and accountability at the company.
Code of Ethics for Senior Financial Officers
The Audit Committee has adopted a Code of Ethics for Senior Financial Officers that supplements the Standards of Business Conduct and Ethics by providing more specific requirements and guidance on certain topics. This Code applies to the chief executive officer, the chief financial officer, the controller, the treasurer and the heads of major business units.
Required State Declarations
 
"
Sun Chemical Corporation,"Sun Chemical’s Disclosure regarding the California Transparency in Supply Chains Act (SB 657)
The California Transparency in Supply Chains Act of 2010 (CTSCA) was approved by the Governor of California on September 30, of 2010. The act begins by declaring that slavery and human trafficking are crimes under state, federal, and international law and requires that retailers and manufacturers doing business in the state of California disclose efforts to eradicate slavery and human trafficking from its direct supply chain to tangible goods offered for sale.
As a responsible corporate citizen, Sun Chemical seeks to ensure that quality and safety standards are maintained throughout our supply chain by well-treated, fairly compensated workers in accordance with all applicable laws. To that end, and in response to the CTSCA, Sun Chemical states:
1. Sun Chemical has published standards prohibiting our suppliers from engaging in slavery and human trafficking. In addition, Sun Chemical’s terms and conditions on our purchase orders ask suppliers to represent and warrant that they do not and will not knowingly use any slave labor or engage in any human trafficking. Because of what we believe to be low risk in our supply chain, we do not currently audit our suppliers for compliance. However, Sun Chemical will consider more intense measures such as auditing or third party verification for any suppliers we determine that are of medium or high risk. If we suspect a supplier is involved in these activities, we will conduct an inquiry. If we find evidence of slavery and human trafficking at the supplier, we expect the supplier to take corrective action to resolve the issues within 90 days.
2. Sun Chemical asks our suppliers to verify in writing that they do not engage in slavery or human trafficking, and that the supplier requires at least the same degree of compliance certified in writing from all of its suppliers of materials used in goods sold to Sun Chemical.
3. In addition to requiring that suppliers renounce and abstain from human trafficking and slavery, we also ask that our suppliers comply with all applicable discrimination and labor laws.
4. Sun Chemical employees are required to attend training concerning issues surrounding slavery and human trafficking in the supply chain, including training for employees that work with our supply chain and contractors on the issues involved with slavery and human trafficking as well as identification of risk.
North American Inks
Europe Inks
Latin American Inks
Asia Inks
Electronic Materials
Advanced Materials
"
"Luvata Appleton, LLC ","June 2015
The California Transparency in Supply Chains Act of 2010 (SB 657)
Disclosure Statement
        The California Transparency in Supply Chains Act of 2010 (SB 657) is designed to increase
        the amount of information made available by manufacturers and retailers regarding efforts
        to address the issue of slavery and human trafficking.
        Luvata believes that workers at its suppliers’ facilities have the right to freely choose
        employment. Luvata further expects that all suppliers who do business with Luvata and its
        subsidiaries will comply with all applicable laws, including the laws against forced or
        involuntary labor. This expectation is embodied in Luvata’s Code of Conduct. Specifically,
        the Human Rights Section of the Code of Conduct expresses support for the Ten Principles
        of the UN Global Compact (a copy of the Luvata Code of Conduct is located at
        http://www.luvata.com/en/About-Luvata/Public-Policies/). Luvata is not aware that any of its
        suppliers engage in human trafficking or slavery. Accordingly, Luvata does not verify its
        supply chains to evaluate the risks of human trafficking or slavery, audit its suppliers for
        compliance with or require suppliers to certify compliance with the laws regarding human
        trafficking and slavery, provide training relating thereto, or maintain internal accountability
        standards relating thereto apart from the Luvata Code of Conduct provisions that require
        Luvata associates to comply with all applicable laws.
        This disclosure applies to all consolidated Luvata subsidiaries that are California taxpayers
        subject to the California Transparency in Supply Chains Act.
"
"Standard Motor Products, Inc.","& eCatalogs
We are organized into two major operating segments, each of which focuses on a specific line of automobile replacement parts.
Established in 1919 and traded on the NYSE, Standard Motor Products, Inc., (SMP®) is a leading independent manufacturer, distributor and marketer of replacement parts for motor vehicles in the automotive aftermarket industry, with an increasing focus on the original equipment and original equipment service markets.
Organized into two major operating segments, SMP® supplies independent professional automotive technicians and do-it-yourselfers with high-quality replacement parts for engine management and temperature control products for domestic and import vehicles.
We distribute through traditional and non-traditional channels under our own brand names, such as Standard®, BWD®, TechSmart®, Intermotor®, Hayden®, ACI®, Four Seasons®, and through private labels.
Corporate Message and Leadership Team
This year at Standard Motor Products, we are proud to celebrate a significant milestone as we commemorate our 97th anniversary. Since SMP® was founded in 1919, we have met difficult times with great resolve, and enjoyed many well-earned successes. Our organization has never been stronger or more eager to serve, staying true to a saying passed down to us through the Fife family, ""The ability to serve well is as important as the will to do so.""
After 97 years, our organization remains an automotive aftermarket leader firmly holding on to our reputation of extraordinary customer service, top quality product, advanced manufacturing, expanding distribution, and continued innovation.
Values
SMP’s vision is to be the leading independent supplier to the automotive aftermarket, providing the highest quality products, the best customer service, competitive prices and the highest reputation for integrity to all channels of distribution while maintaining a profitable return for all stakeholders.
SMP is committed to conducting our businesses in an environmentally responsible and proactive manner. We are mindful of this responsibility and endeavor to consider the environmental impact from the outset with a dedication to innovative and accountable engineering driving efficient and green manufacturing processes. We have found that these practices can in fact be cost-effective while maintaining and building loyalty as evidenced by several of our recent initiatives involving hybrid technology and alternative fuel systems.
History
On April 19, 1919, Elias Fife and Ralph Van Allen founded Standard Motor Products, Inc. (SMP) in New York City. Along with 10 other employees, Fife and Van Allen began to sell automotive replacement parts to repair shops.
Today, SMP® employs over 3,400 people internationally and is celebrating 95 years as an independent manufacturer and one of the largest distributors of replacement parts for motor vehicles in the automotive aftermarket.
Standard Motor Products, Inc. is headquartered in Long Island City, New York with numerous manufacturing and distribution locations in the U.S., Canada, Mexico, Europe and Asia.
Welcome to the SMP Corporate Vendor/Customer Routing information page. This information has been provided for buyers, vendors and customer service representatives to better understand how to best do business with SMP. The following information describes our routing instructions.
Welcome to the SMP supplier information page. This information is to help you understand how to do business with SMP. The following information describes our general corporate terms and conditions. Additional information regarding individual SMP purchasing divisions is also available.
SMP® supplies independent professional automotive technicians and do-it yourselfers with high-quality replacement parts for engine management ignition, emission and fuel systems as well as temperature control products for domestic and import vehicles. SMP® products are sold through both traditional and non-traditional distribution channels worldwide.
To request printed material (annual reports, Form 10-Ks, Form 10-Qs and other financial information) please fill out form via the ‘learn more’ button below.
Established in 1919 and traded on the NYSE, Standard Motor Products, Inc., (SMP®) is a leading independent manufacturer, distributor and marketer of replacement parts for motor vehicles in the automotive aftermarket industry, with an increasing focus on the original equipment and original equipment service markets.
Welcome to Standard Motor Products Officers and Directors section. Here you can view the biographies of SMP's senior management team.
Governance Documents
Standard Motor Product's Governance Documents outline non-discretionary governing principles and together, are a formal statement of intent that mandate the principles or standards that apply to the our corporate operations or to the conduct of our employees.
Because Standard Motor Products is considered too large for all the members to participate in decisions affecting the corporation as a whole, our Committee Members are given the power to make decisions or take action.
Here you can view our committee members and view their biographies.
Historical Prices & Dividends
At SMP, we keep extremely accurate records of our historical prices and dividends. Feel free to look around at previous dates, prices, highs, and volumes.
At SMP, we keep extremely accurate records of our historical prices and dividends. Feel free to look around at previous dates, prices, highs, and volumes.
Click through to see our up-to-the-minute data on our insider transactions, including our open market buys, open market sells, total transactions, and shares.
In our financial reporting section you can find information for SEC filings, annual reports, XBRL documents, and proxy statements.
Standard Motor Products, Inc., supplies independent professional auto mechanics and automotive do-it-yourselfers with functional replacement parts for engine management, electrical and climate control systems of cars, trucks and buses. These products are sold through both traditional and non-traditional distribution channels. To take a look at our presentations, please click to the next page.
Corporate News
Standard Motor Products received recently the '2015 Vendor of the Year Award' from The Parts House.
The automotive aftermarket or motor vehicle aftermarket is a critical segment of the U.S. economy. Distribution channels include original equipment, original equipment service, traditional automotive, programmed distribution, large retailers, and the non-traditional markets. This industry includes all products and services purchased for light and heavy duty vehicles after the original sale. This includes replacement parts for under hood and undercar, engine management, temperature controls, accessories, lubricants and appearance products. This also covers service repairs and the tools and equipment necessary to make the repair.
The Automotive Aftermarket total revenue exceeds 307.7 billion dollars in sales. Additionally, this industry employs over 4.1 million people, more than 800,000 of which are technicians.
The automotive aftermarket or motor vehicle aftermarket is a critical segment of the U.S. economy. Distribution channels include original equipment, original equipment service, traditional automotive, programmed distribution, large retailers, and the non-traditional markets. This industry includes all products and services purchased for light and heavy duty vehicles after the original sale. This includes replacement parts for under hood and undercar, engine management, temperature controls, accessories, lubricants and appearance products. This also covers service repairs and the tools and equipment necessary to make the repair.
The automotive aftermarket or motor vehicle aftermarket is a critical segment of the U.S. economy. Distribution channels include original equipment, original equipment service, traditional automotive, programmed distribution, large retailers, and the non-traditional markets. This industry includes all products and services purchased for light and heavy duty vehicles after the original sale. This includes replacement parts for under hood and undercar, engine management, temperature controls, accessories, lubricants and appearance products. This also covers service repairs and the tools and equipment necessary to make the repair.
Drive Your Career Forward
As a global leader in the independent manufacturing and distribution of motor vehicle replacement parts, we’re always looking to add bright newcomers to our team.
The stimulating challenges SMP® has to offer will help you build a solid foundation for your career. Explore our career section further to find out what SMP® has to offer you and let us know what you have to offer SMP®.
Copyright © 2016 Standard Motor Products, Inc., All rights reserved.
"
